==================================================
=== 积分计算结果 ===
==================================================
计算时间: 603.80分钟
积分结果: -0.01081349 ± 0.00000319
相对误差: 0.0295%
Q值: 0.3797

详细信息:
itn   integral        average         chi2/dof        Q
104   -0.010737(45)   -0.0108113(44)      1.06     0.32
105   -0.010854(45)   -0.0108117(44)      1.06     0.32
106   -0.010871(45)   -0.0108123(44)      1.06     0.31
107   -0.010816(45)   -0.0108123(44)      1.05     0.33
108   -0.010846(45)   -0.0108126(43)      1.05     0.34
109   -0.010787(45)   -0.0108124(43)      1.04     0.36
110   -0.010786(45)   -0.0108122(43)      1.04     0.38
111   -0.010836(45)   -0.0108124(43)      1.03     0.39
112   -0.010781(45)   -0.0108121(43)      1.03     0.41
113   -0.010739(45)   -0.0108114(42)      1.04     0.37
114   -0.010773(45)   -0.0108111(42)      1.04     0.37
115   -0.010816(45)   -0.0108111(42)      1.03     0.40
116   -0.010837(45)   -0.0108114(42)      1.02     0.42
117   -0.010846(45)   -0.0108117(42)      1.02     0.43
118   -0.010736(45)   -0.0108110(41)      1.03     0.38
119   -0.010837(45)   -0.0108112(41)      1.03     0.40
120   -0.010764(45)   -0.0108109(41)      1.03     0.40
121   -0.010822(45)   -0.0108109(41)      1.02     0.42
122   -0.010863(45)   -0.0108114(41)      1.02     0.41
123   -0.010820(45)   -0.0108114(41)      1.01     0.44
124   -0.010825(45)   -0.0108115(40)      1.01     0.46
125   -0.010858(45)   -0.0108119(40)      1.01     0.46
126   -0.010822(45)   -0.0108120(40)      1.00     0.48
127   -0.010751(45)   -0.0108115(40)      1.01     0.46
128   -0.010804(45)   -0.0108115(40)      1.00     0.49
129   -0.010836(45)   -0.0108116(40)      0.99     0.51
130   -0.010784(45)   -0.0108114(40)      0.99     0.52
131   -0.010870(45)   -0.0108119(39)      0.99     0.50
132   -0.010841(45)   -0.0108121(39)      0.99     0.52
133   -0.010809(45)   -0.0108121(39)      0.98     0.54
134   -0.010799(45)   -0.0108120(39)      0.97     0.57
135   -0.010863(45)   -0.0108124(39)      0.98     0.56
136   -0.010784(45)   -0.0108122(39)      0.97     0.57
137   -0.010827(45)   -0.0108123(39)      0.97     0.59
138   -0.010798(45)   -0.0108122(38)      0.96     0.62
139   -0.010861(45)   -0.0108125(38)      0.96     0.61
140   -0.010828(45)   -0.0108126(38)      0.96     0.63
141   -0.010827(45)   -0.0108127(38)      0.95     0.65
142   -0.010877(45)   -0.0108132(38)      0.96     0.63
143   -0.010780(45)   -0.0108129(38)      0.95     0.64
144   -0.010826(45)   -0.0108130(38)      0.95     0.66
145   -0.010822(45)   -0.0108131(37)      0.94     0.68
146   -0.010841(45)   -0.0108133(37)      0.94     0.69
147   -0.010811(45)   -0.0108133(37)      0.93     0.71
148   -0.010867(45)   -0.0108136(37)      0.93     0.70
149   -0.010758(45)   -0.0108133(37)      0.94     0.69
150   -0.010795(45)   -0.0108132(37)      0.93     0.71
151   -0.010782(45)   -0.0108129(37)      0.93     0.72
152   -0.010900(45)   -0.0108135(37)      0.95     0.66
153   -0.010836(45)   -0.0108137(36)      0.94     0.68
154   -0.010763(45)   -0.0108133(36)      0.95     0.67
155   -0.010892(45)   -0.0108138(36)      0.96     0.63
156   -0.010792(45)   -0.0108137(36)      0.95     0.64
157   -0.010789(45)   -0.0108135(36)      0.95     0.66
158   -0.010788(45)   -0.0108134(36)      0.95     0.67
159   -0.010804(45)   -0.0108133(36)      0.94     0.69
160   -0.010807(45)   -0.0108133(36)      0.94     0.71
161   -0.010797(45)   -0.0108132(36)      0.93     0.73
162   -0.010835(45)   -0.0108133(35)      0.93     0.74
163   -0.010896(45)   -0.0108138(35)      0.94     0.69
164   -0.010751(45)   -0.0108134(35)      0.95     0.67
165   -0.010814(45)   -0.0108135(35)      0.94     0.69
166   -0.010878(45)   -0.0108138(35)      0.95     0.67
167   -0.010765(45)   -0.0108136(35)      0.95     0.67
168   -0.010817(45)   -0.0108136(35)      0.94     0.69
169   -0.010892(45)   -0.0108140(35)      0.96     0.65
170   -0.010810(45)   -0.0108140(35)      0.95     0.67
171   -0.010721(45)   -0.0108135(34)      0.97     0.60
172   -0.010919(45)   -0.0108141(34)      1.00     0.50
173   -0.010867(45)   -0.0108144(34)      1.00     0.49
174   -0.010848(45)   -0.0108146(34)      1.00     0.50
175   -0.010795(45)   -0.0108145(34)      0.99     0.52
176   -0.010764(45)   -0.0108142(34)      0.99     0.51
177   -0.010889(45)   -0.0108146(34)      1.00     0.48
178   -0.010758(45)   -0.0108143(34)      1.01     0.47
179   -0.010838(45)   -0.0108144(34)      1.00     0.48
180   -0.010862(45)   -0.0108147(34)      1.00     0.48
181   -0.010761(45)   -0.0108144(33)      1.00     0.47
182   -0.010726(45)   -0.0108139(33)      1.02     0.41
183   -0.010844(45)   -0.0108141(33)      1.02     0.42
184   -0.010874(45)   -0.0108144(33)      1.02     0.41
185   -0.010788(45)   -0.0108142(33)      1.02     0.42
186   -0.010777(45)   -0.0108140(33)      1.02     0.43
187   -0.010738(45)   -0.0108136(33)      1.03     0.39
188   -0.010790(45)   -0.0108135(33)      1.02     0.41
189   -0.010846(45)   -0.0108137(33)      1.02     0.42
190   -0.010786(45)   -0.0108135(33)      1.02     0.43
191   -0.010779(45)   -0.0108134(33)      1.01     0.44
192   -0.010738(45)   -0.0108130(33)      1.02     0.40
193   -0.010877(45)   -0.0108133(32)      1.03     0.38
194   -0.010893(45)   -0.0108137(32)      1.04     0.34
195   -0.010863(45)   -0.0108140(32)      1.04     0.34
196   -0.010749(45)   -0.0108136(32)      1.04     0.32
197   -0.010785(45)   -0.0108135(32)      1.04     0.33
198   -0.010790(45)   -0.0108134(32)      1.04     0.35
199   -0.010834(45)   -0.0108135(32)      1.03     0.36
200   -0.010815(45)   -0.0108135(32)      1.03     0.38

==================================================
