==================================================
=== 积分计算结果 ===
==================================================
计算时间: 1307.99分钟
积分结果: -0.00029252 ± 0.00052293
相对误差: 178.7681%
Q值: 0.9844

详细信息:
itn   integral        wgt average     chi2/dof        Q
115   -0.002(10)      -0.000008(982)      0.80     0.94
116   -0.004(10)      -0.00005(98)        0.80     0.95
117   -0.005(10)      -0.00009(97)        0.79     0.95
118   -0.018(10)      -0.00025(97)        0.81     0.93
119   -0.002(10)      -0.00026(96)        0.81     0.94
120   -0.015(10)      -0.00038(96)        0.81     0.93
121   -0.011(10)      -0.00047(96)        0.82     0.93
122   0.002(10)       -0.00045(95)        0.81     0.94
123   0.006(10)       -0.00040(95)        0.81     0.94
124   -0.014(10)      -0.00051(94)        0.81     0.94
125   -0.011(10)      -0.00059(94)        0.81     0.94
126   0.005(10)       -0.00055(94)        0.81     0.94
127   0.009(10)       -0.00047(93)        0.81     0.94
128   -0.013(10)      -0.00058(93)        0.82     0.94
129   0.012(10)       -0.00048(93)        0.82     0.93
130   -0.009(10)      -0.00055(92)        0.82     0.93
131   -0.006(10)      -0.00059(92)        0.82     0.94
132   0.001(10)       -0.00057(91)        0.81     0.95
133   -0.0002(104)    -0.00057(91)        0.80     0.95
134   -0.016(10)      -0.00069(91)        0.81     0.94
135   -0.006(10)      -0.00072(90)        0.81     0.95
136   0.006(10)       -0.00067(90)        0.81     0.95
137   -0.009(10)      -0.00074(90)        0.80     0.95
138   -0.003(10)      -0.00075(89)        0.80     0.96
139   0.009(10)       -0.00068(89)        0.80     0.96
140   -0.025(10)      -0.00086(89)        0.83     0.92
141   -0.003(10)      -0.00088(88)        0.83     0.93
142   0.002(10)       -0.00086(88)        0.82     0.94
143   -0.013(10)      -0.00094(88)        0.83     0.94
144   -0.005(10)      -0.00097(88)        0.82     0.94
145   -0.010(10)      -0.00103(87)        0.82     0.94
146   0.007(10)       -0.00097(87)        0.82     0.95
147   0.001(10)       -0.00096(87)        0.81     0.95
148   -0.002(10)      -0.00096(86)        0.81     0.96
149   -0.010(10)      -0.00103(86)        0.81     0.96
150   0.0008(104)     -0.00102(86)        0.80     0.96
151   0.011(10)       -0.00093(85)        0.81     0.96
152   -0.009(10)      -0.00099(85)        0.80     0.96
153   0.013(10)       -0.00090(85)        0.81     0.96
154   0.011(10)       -0.00082(85)        0.81     0.96
155   -0.017(10)      -0.00093(84)        0.82     0.95
156   -0.015(10)      -0.00102(84)        0.83     0.94
157   -0.014(10)      -0.00110(84)        0.83     0.94
158   -0.0009(104)    -0.00110(84)        0.83     0.94
159   0.002(10)       -0.00108(83)        0.82     0.95
160   -0.003(10)      -0.00110(83)        0.82     0.95
161   0.005(10)       -0.00106(83)        0.82     0.96
162   0.002(10)       -0.00104(82)        0.81     0.96
163   -0.004(10)      -0.00106(82)        0.81     0.97
164   -0.013(10)      -0.00113(82)        0.81     0.96
165   -0.016(10)      -0.00123(82)        0.82     0.96
166   0.008(10)       -0.00117(81)        0.82     0.96
167   -0.017(10)      -0.00127(81)        0.83     0.95
168   -0.0002(104)    -0.00126(81)        0.82     0.95
169   0.007(11)       -0.00121(81)        0.82     0.96
170   -0.003(10)      -0.00122(80)        0.82     0.96
171   -0.003(10)      -0.00123(80)        0.81     0.97
172   0.0002(104)     -0.00122(80)        0.81     0.97
173   0.002(10)       -0.00121(80)        0.80     0.97
174   -0.003(10)      -0.00122(80)        0.80     0.98
175   -0.009(10)      -0.00127(79)        0.80     0.98
176   -0.011(10)      -0.00132(79)        0.80     0.98
177   0.008(10)       -0.00127(79)        0.80     0.98
178   -0.019(10)      -0.00137(79)        0.81     0.97
179   0.006(10)       -0.00133(78)        0.81     0.97
180   0.002(10)       -0.00131(78)        0.80     0.97
181   -0.0002(104)    -0.00131(78)        0.80     0.98
182   0.010(10)       -0.00124(78)        0.80     0.98
183   0.015(10)       -0.00115(78)        0.81     0.97
184   -0.009(10)      -0.00120(77)        0.81     0.97
185   0.001(10)       -0.00118(77)        0.81     0.98
186   -0.001(10)      -0.00118(77)        0.80     0.98
187   -0.013(10)      -0.00125(77)        0.80     0.98
188   0.006(10)       -0.00121(76)        0.80     0.98
189   0.006(10)       -0.00117(76)        0.80     0.98
190   -0.009(10)      -0.00121(76)        0.80     0.98
191   -0.009(10)      -0.00125(76)        0.80     0.98
192   0.020(10)       -0.00114(76)        0.82     0.97
193   0.004(10)       -0.00111(75)        0.81     0.97
194   -0.015(10)      -0.00118(75)        0.82     0.97
195   0.001(10)       -0.00117(75)        0.81     0.97
196   0.013(10)       -0.00110(75)        0.82     0.97
197   -0.008(10)      -0.00113(75)        0.82     0.97
198   -0.005(10)      -0.00115(74)        0.81     0.97
199   -0.011(10)      -0.00120(74)        0.81     0.97
200   -0.007(10)      -0.00123(74)        0.81     0.98
201   0.002(10)       -0.00121(74)        0.81     0.98
202   0.029(10)       -0.00106(74)        0.84     0.95
203   0.012(10)       -0.00100(74)        0.85     0.94
204   0.005(10)       -0.00097(73)        0.85     0.95
205   -0.004(10)      -0.00098(73)        0.84     0.95
206   0.008(10)       -0.00094(73)        0.84     0.95
207   -0.009(10)      -0.00098(73)        0.84     0.95
208   0.003(10)       -0.00096(73)        0.84     0.96
209   0.028(10)       -0.00082(72)        0.87     0.92
210   -0.00003(1040)  -0.00081(72)        0.86     0.92
211   0.0006(104)     -0.00081(72)        0.86     0.93
212   -0.005(10)      -0.00083(72)        0.86     0.93
213   -0.006(10)      -0.00085(72)        0.85     0.94
214   -0.004(10)      -0.00087(72)        0.85     0.94
215   -0.005(10)      -0.00089(71)        0.85     0.95
216   0.003(10)       -0.00087(71)        0.84     0.95
217   -0.001(10)      -0.00087(71)        0.84     0.96
218   0.015(10)       -0.00080(71)        0.85     0.95
219   0.007(10)       -0.00076(71)        0.85     0.95
220   -0.001(10)      -0.00076(71)        0.84     0.96
221   0.007(10)       -0.00073(70)        0.84     0.96
222   -0.006(10)      -0.00075(70)        0.84     0.96
223   0.005(10)       -0.00073(70)        0.84     0.96
224   -0.013(10)      -0.00078(70)        0.84     0.96
225   -0.001(10)      -0.00078(70)        0.83     0.97
226   -0.008(10)      -0.00082(70)        0.83     0.97
227   0.0006(104)     -0.00081(69)        0.83     0.97
228   -0.006(12)      -0.00083(69)        0.83     0.97
229   0.007(10)       -0.00080(69)        0.82     0.97
230   0.002(10)       -0.00078(69)        0.82     0.98
231   -0.004(10)      -0.00080(69)        0.82     0.98
232   0.0007(104)     -0.00079(69)        0.81     0.98
233   0.003(10)       -0.00077(69)        0.81     0.98
234   0.005(10)       -0.00075(68)        0.81     0.98
235   -0.0003(104)    -0.00074(68)        0.81     0.99
236   -0.012(10)      -0.00080(68)        0.81     0.99
237   0.009(10)       -0.00075(68)        0.81     0.99
238   0.026(10)       -0.00064(68)        0.83     0.97
239   0.007(10)       -0.00061(68)        0.83     0.97
240   0.001(10)       -0.00060(68)        0.83     0.98
241   0.003(10)       -0.00058(67)        0.83     0.98
242   -0.024(10)      -0.00068(67)        0.84     0.96
243   -0.010(10)      -0.00072(67)        0.84     0.96
244   -0.0006(104)    -0.00072(67)        0.84     0.97
245   0.014(11)       -0.00066(67)        0.84     0.96
246   0.025(10)       -0.00056(67)        0.86     0.94
247   -0.008(10)      -0.00059(67)        0.86     0.94
248   -0.010(10)      -0.00062(66)        0.86     0.94
249   -0.002(10)      -0.00063(66)        0.86     0.95
250   -0.006(10)      -0.00065(66)        0.86     0.95
251   -0.026(10)      -0.00075(66)        0.88     0.92
252   -0.026(10)      -0.00085(66)        0.90     0.88
253   0.009(10)       -0.00081(66)        0.90     0.88
254   0.004(10)       -0.00079(66)        0.89     0.89
255   0.001(10)       -0.00079(66)        0.89     0.89
256   -0.007(10)      -0.00081(65)        0.89     0.90
257   0.003(10)       -0.00080(65)        0.89     0.91
258   -0.007(11)      -0.00082(65)        0.88     0.91
259   0.010(10)       -0.00078(65)        0.88     0.91
260   0.005(10)       -0.00075(65)        0.88     0.91
261   -0.008(10)      -0.00078(65)        0.88     0.92
262   0.002(10)       -0.00077(65)        0.88     0.92
263   0.003(10)       -0.00076(65)        0.88     0.93
264   0.011(10)       -0.00071(64)        0.88     0.93
265   0.007(10)       -0.00068(64)        0.88     0.93
266   0.004(10)       -0.00066(64)        0.87     0.93
267   -0.012(10)      -0.00070(64)        0.87     0.93
268   0.006(10)       -0.00068(64)        0.87     0.93
269   -0.003(10)      -0.00069(64)        0.87     0.94
270   0.010(10)       -0.00065(64)        0.87     0.94
